Best 13 Happiest Couples are :
Girl21 and Boy5
Girl38 and Boy37
Girl53 and Boy39
Girl6 and Boy9
Girl2 and Boy16
Girl4 and Boy31
Girl22 and Boy10
Girl0 and Boy22
Girl46 and Boy38
Girl8 and Boy2
Girl44 and Boy26
Girl31 and Boy30
Girl13 and Boy4
Best 13 Compatible Couples are :
Girl1 and Boy23
Girl21 and Boy5
Girl38 and Boy37
Girl6 and Boy9
Girl53 and Boy39
Girl0 and Boy22
Girl22 and Boy10
Girl2 and Boy16
Girl4 and Boy31
Girl8 and Boy2
Girl46 and Boy38
Girl28 and Boy20
Girl3 and Boy0
