Essential,72,93
Essential,94,58
Essential,97,45
Utility,54,71
Luxury,57,88
Essential,29,53
Essential,17,99
Utility,33,12
Luxury,79,4
Essential,71,84
Luxury,78,25
Utility,68,71
Utility,65,61
Utility,3,51
Essential,80,11
Utility,27,71
Essential,24,33
Utility,22,25
Utility,24,64
Essential,29,63
Luxury,61,76
Utility,28,95
Essential,46,52
Luxury,86,25
Luxury,3,96
Utility,73,1
Utility,27,44
Utility,22,19
Luxury,5,77
Essential,60,69
Utility,66,57
Luxury,29,19
Luxury,64,2
Luxury,43,29
Utility,79,9
Utility,30,6
Luxury,42,90
