Boy0,75,27,2477,25,Geek,single
Boy1,96,29,2004,6,Generous,single
Boy2,43,7,2462,31,Miser,single
Boy3,84,2,367,18,Miser,single
Boy4,62,9,4775,14,Geek,single
Boy5,53,36,2606,35,Miser,single
Boy6,23,15,2874,24,Geek,single
Boy7,53,33,1483,34,Geek,single
Boy8,95,31,2848,39,Generous,single
Boy9,68,47,4095,33,Geek,single
Boy10,25,3,2057,39,Generous,single
Boy11,87,6,2577,20,Miser,single
Boy12,49,40,649,5,Geek,single
Boy13,59,49,1156,12,Miser,single
Boy14,25,47,4158,8,Miser,single
Boy15,86,26,31,34,Generous,single
Boy16,82,21,1992,14,Generous,single
Boy17,55,49,1619,38,Miser,single
Boy18,4,41,2442,31,Generous,single
Boy19,23,13,4646,27,Geek,single
Boy20,16,23,3209,4,Miser,single
Boy21,97,43,4893,16,Geek,single
Boy22,45,3,3795,38,Miser,single
Boy23,54,29,3475,18,Miser,single
Boy24,20,31,4541,11,Geek,single
Boy25,83,40,2561,9,Geek,single
Boy26,56,42,3392,28,Geek,single
Boy27,71,5,3407,19,Generous,single
Boy28,75,22,3522,20,Generous,single
Boy29,37,49,2844,3,Geek,single
Boy30,88,26,4092,6,Miser,single
Boy31,55,47,983,1,Miser,single
Boy32,19,37,2182,29,Generous,single
Boy33,84,36,869,4,Geek,single
Boy34,43,39,3948,10,Generous,single
Boy35,64,5,3863,14,Generous,single
Boy36,66,29,1977,34,Miser,single
Boy37,20,8,4974,31,Miser,single
Boy38,41,6,2406,14,Miser,single
Boy39,51,8,1104,7,Geek,single
Boy40,66,6,4910,29,Miser,single
Boy41,61,11,2469,7,Geek,single
Boy42,64,12,4592,32,Generous,single
Boy43,30,23,1329,26,Generous,single
Boy44,52,21,2092,34,Geek,single
