Utility,94,47
Utility,10,27
Luxury,99,36
Utility,37,49
Luxury,33,19
Essential,79,53
Utility,91,74
Essential,76,32
Luxury,10,72
Utility,21,51
Utility,5,15
Essential,66,28
Essential,43,73
Utility,67,90
Essential,8,43
Essential,73,73
Utility,98,2
Utility,83,98
Utility,94,42
Utility,69,65
Luxury,86,62
Utility,73,10
Luxury,4,53
Utility,73,31
Utility,87,36
Utility,5,23
Utility,60,81
Luxury,34,81
Utility,48,44
Essential,85,82
Essential,50,46
Essential,7,96
Essential,36,59
Essential,67,51
Utility,32,59
Essential,59,23
Utility,65,97
Luxury,40,4
Luxury,74,7
Utility,67,0
Utility,14,55
