Boy2 gave Luxury gift to Girl0 on 10.04.2017 at 08.43.18
Boy4 gave Luxury gift to Girl1 on 10.04.2017 at 08.43.18
Boy1 gave Luxury gift to Girl2 on 10.04.2017 at 08.43.18
Boy5 gave Essential gift to Girl4 on 10.04.2017 at 08.43.18
Boy6 gave Utility gift to Girl5 on 10.04.2017 at 08.43.18
Boy8 gave Utility gift to Girl6 on 10.04.2017 at 08.43.18
Boy7 gave Utility gift to Girl8 on 10.04.2017 at 08.43.18
Boy9 gave Essential gift to Girl9 on 10.04.2017 at 08.43.18
Boy11 gave Utility gift to Girl10 on 10.04.2017 at 08.43.18
Boy12 gave Essential gift to Girl11 on 10.04.2017 at 08.43.18
Boy27 gave Essential gift to Girl12 on 10.04.2017 at 08.43.18
Boy13 gave Essential gift to Girl13 on 10.04.2017 at 08.43.18
Boy22 gave Luxury gift to Girl15 on 10.04.2017 at 08.43.18
Boy17 gave Utility gift to Girl16 on 10.04.2017 at 08.43.18
Boy3 gave Essential gift to Girl17 on 10.04.2017 at 08.43.18
Boy14 gave Luxury gift to Girl18 on 10.04.2017 at 08.43.18
Boy15 gave Luxury gift to Girl19 on 10.04.2017 at 08.43.18
Boy16 gave Luxury gift to Girl20 on 10.04.2017 at 08.43.18
Boy18 gave Luxury gift to Girl21 on 10.04.2017 at 08.43.18
Boy24 gave Luxury gift to Girl22 on 10.04.2017 at 08.43.18
Boy26 gave Luxury gift to Girl23 on 10.04.2017 at 08.43.18
Boy25 gave Essential gift to Girl24 on 10.04.2017 at 08.43.18
Boy32 gave Utility gift to Girl25 on 10.04.2017 at 08.43.18
Boy34 gave Utility gift to Girl26 on 10.04.2017 at 08.43.18
Boy35 gave Utility gift to Girl28 on 10.04.2017 at 08.43.18
Boy36 gave Utility gift to Girl29 on 10.04.2017 at 08.43.18
Boy10 gave Essential gift to Girl32 on 10.04.2017 at 08.43.18
Boy37 gave Luxury gift to Girl33 on 10.04.2017 at 08.43.18
Boy31 gave Utility gift to Girl40 on 10.04.2017 at 08.43.18
Boy20 gave Utility gift to Girl44 on 10.04.2017 at 08.43.18
Boy0 gave Luxury gift to Girl47 on 10.04.2017 at 08.43.18
